subject,PCR,uniqueseq,count,freq
25,F3F_S1R,F3F_S1R.2,245,22.3540145985401
26,F3F_S1R,F3F_S1R.2,1805,24.3918918918919
27,F3F_S1R,F3F_S1R.2,740,15.9003008165019
28,F3F_S1R,F3F_S1R.2,18,0.287448099648675
29,F3F_S1R,F3F_S1R.2,4,0.153315446531238
30,F3F_S1R,F3F_S1R.2,872,24.6049661399549
31,F3F_S1R,F3F_S1R.2,1859,16.2514205787219
32,F3F_S1R,F3F_S1R.2,11,0.38623595505618
34,F3F_S1R,F3F_S1R.2,1237,22.9840208101078
36,F3F_S1R,F3F_S1R.2,8,0.371574547143521
37,F3F_S1R,F3F_S1R.2,865,15.2880876634853
38,F3F_S1R,F3F_S1R.2,0,0
39,F3F_S1R,F3F_S1R.2,749,24.9500333111259
4,F3F_S1R,F3F_S1R.2,2068,24.2637568931128
40,F3F_S1R,F3F_S1R.2,249,18.349299926308
42,F3F_S1R,F3F_S1R.2,539,22.6851851851852
44,F3F_S1R,F3F_S1R.2,685,25.2674289929915
45,F3F_S1R,F3F_S1R.2,1790,32.0731051782835
46,F3F_S1R,F3F_S1R.2,690,16.0315985130112
47,F3F_S1R,F3F_S1R.2,680,25.7380772142316
48,F3F_S1R,F3F_S1R.2,2,0.0979911807937286
49,F3F_S1R,F3F_S1R.2,6,24
5,F3F_S1R,F3F_S1R.2,3,0.0643776824034335
50,F3F_S1R,F3F_S1R.2,562,23.0045026606631
51,F3F_S1R,F3F_S1R.2,18,0.656934306569343
52,F3F_S1R,F3F_S1R.2,1113,23.4266470216797
53,F3F_S1R,F3F_S1R.2,2063,23.334464427101
54,F3F_S1R,F3F_S1R.2,902,32.8
55,F3F_S1R,F3F_S1R.2,482,23.4094220495386
56,F3F_S1R,F3F_S1R.2,981,31.8817029574261
57,F3F_S1R,F3F_S1R.2,5,0.142287990893569
58,F3F_S1R,F3F_S1R.2,647,15.7344357976654
59,F3F_S1R,F3F_S1R.2,5,0.28735632183908
6,F3F_S1R,F3F_S1R.2,1384,48.4085344526058
60,F3F_S1R,F3F_S1R.2,1460,25.5110955792417
61,F3F_S1R,F3F_S1R.2,1084,25.9454284346577
62,F3F_S1R,F3F_S1R.2,18,0.5745292052346
63,F3F_S1R,F3F_S1R.2,884,31.0611384399157
66,F3F_S1R,F3F_S1R.2,23,0.369953353707576
67,F3F_S1R,F3F_S1R.2,15,0.178784266984505
68,F3F_S1R,F3F_S1R.2,834,19.3144974525243
69,F3F_S1R,F3F_S1R.2,7,0.298507462686567
7,F3F_S1R,F3F_S1R.2,2127,30.6131260794473
70,F3F_S1R,F3F_S1R.2,2561,31.1103012633625
71,F3F_S1R,F3F_S1R.2,665,12.258064516129
72,F3F_S1R,F3F_S1R.2,554,23.3361415332772
73,F3F_S1R,F3F_S1R.2,1523,32.4733475479744
74,F3F_S1R,F3F_S1R.2,1459,22.9294358007229
75,F3F_S1R,F3F_S1R.2,2778,24.3321362879916
76,F3F_S1R,F3F_S1R.2,1189,22.8434197886648
77,F3F_S1R,F3F_S1R.2,819,48.0916030534351
78,F3F_S1R,F3F_S1R.2,1285,23.8183503243744
79,F3F_S1R,F3F_S1R.2,1767,24.5621351125938
8,F3F_S1R,F3F_S1R.2,11,0.180387012135126
80,F3F_S1R,F3F_S1R.2,1407,25.0222301262671
81,F3F_S1R,F3F_S1R.2,1493,36.4769118006352
82,F3F_S1R,F3F_S1R.2,3705,36.8034171053939
84,F3F_S1R,F3F_S1R.2,453,15.267947421638
85,F3F_S1R,F3F_S1R.2,2530,29.7122724603641
87,F3F_S1R,F3F_S1R.2,800,16.6701396124193
90,F3F_S1R,F3F_S1R.2,1968,32.6314044105455
91,F3F_S1R,F3F_S1R.2,1567,33.031197301855
92,F3F_S1R,F3F_S1R.2,603,23.6656200941915
93,F3F_S1R,F3F_S1R.2,1357,32.8810273806639
95,F3F_S1R,F3F_S1R.2,728,23.5980551053485
10,F3F_S1R,F3F_S1R.3,771,16.8930762489045
12,F3F_S1R,F3F_S1R.3,1217,24.6057420137485
13,F3F_S1R,F3F_S1R.3,1398,25.7458563535912
15,F3F_S1R,F3F_S1R.3,3064,50.0163238654914
16,F3F_S1R,F3F_S1R.3,1,0.0196734212079481
17,F3F_S1R,F3F_S1R.3,3,0.192431045542014
18,F3F_S1R,F3F_S1R.3,1,0.00910166560480568
19,F3F_S1R,F3F_S1R.3,1825,17.3479087452472
2,F3F_S1R,F3F_S1R.3,481,24.7427983539095
20,F3F_S1R,F3F_S1R.3,1222,25.5328040117008
21,F3F_S1R,F3F_S1R.3,491,25.5330213208528
23,F3F_S1R,F3F_S1R.3,2,0.0163545670128383
24,F3F_S1R,F3F_S1R.3,0,0
25,F3F_S1R,F3F_S1R.3,264,24.0875912408759
26,F3F_S1R,F3F_S1R.3,0,0
27,F3F_S1R,F3F_S1R.3,0,0
28,F3F_S1R,F3F_S1R.3,1456,23.2513573938039
29,F3F_S1R,F3F_S1R.3,645,24.7221157531621
30,F3F_S1R,F3F_S1R.3,933,26.3261851015801
31,F3F_S1R,F3F_S1R.3,1990,17.396625579159
32,F3F_S1R,F3F_S1R.3,718,25.2106741573034
34,F3F_S1R,F3F_S1R.3,1460,27.1274619100706
36,F3F_S1R,F3F_S1R.3,525,24.3845796562936
37,F3F_S1R,F3F_S1R.3,0,0
38,F3F_S1R,F3F_S1R.3,1,0.292397660818713
39,F3F_S1R,F3F_S1R.3,739,24.6169220519654
4,F3F_S1R,F3F_S1R.3,2214,25.9767687434002
40,F3F_S1R,F3F_S1R.3,220,16.2122328666175
42,F3F_S1R,F3F_S1R.3,0,0
44,F3F_S1R,F3F_S1R.3,681,25.1198819623755
45,F3F_S1R,F3F_S1R.3,4,0.0716717434151586
46,F3F_S1R,F3F_S1R.3,758,17.6115241635688
47,F3F_S1R,F3F_S1R.3,679,25.7002271006813
48,F3F_S1R,F3F_S1R.3,333,16.3155316021558
49,F3F_S1R,F3F_S1R.3,5,20
5,F3F_S1R,F3F_S1R.3,1089,23.3690987124464
50,F3F_S1R,F3F_S1R.3,631,25.8288988948015
51,F3F_S1R,F3F_S1R.3,426,15.5474452554745
52,F3F_S1R,F3F_S1R.3,1294,27.2363712902547
53,F3F_S1R,F3F_S1R.3,2284,25.8341816536591
54,F3F_S1R,F3F_S1R.3,2,0.0727272727272727
55,F3F_S1R,F3F_S1R.3,509,24.7207382224381
56,F3F_S1R,F3F_S1R.3,0,0
57,F3F_S1R,F3F_S1R.3,1762,50.1422879908936
58,F3F_S1R,F3F_S1R.3,740,17.9961089494163
59,F3F_S1R,F3F_S1R.3,455,26.1494252873563
6,F3F_S1R,F3F_S1R.3,0,0
60,F3F_S1R,F3F_S1R.3,1448,25.3014153416041
61,F3F_S1R,F3F_S1R.3,0,0
62,F3F_S1R,F3F_S1R.3,808,25.7899776571976
