"subject_id","MM2F_S3R.1","MM2F_S3R.10","MM2F_S3R.11","MM2F_S3R.13","MM2F_S3R.15","MM2F_S3R.17","MM2F_S3R.18","MM2F_S3R.2","MM2F_S3R.20","MM2F_S3R.27","MM2F_S3R.5","MM2F_S3R.7"
"Mf1_69",17.5579744439186,31.8031235210601,NA,NA,NA,NA,NA,14.529105537151,NA,NA,NA,34.0747752011358
"Mf1_70",47.9064898813678,NA,NA,NA,NA,NA,NA,45.778087927425,NA,NA,4.09979064898814,NA
"Mf1_71",24.0379452299982,NA,NA,NA,NA,NA,NA,24.1095400035797,NA,NA,NA,50.4564166815823
"Mf1_72",48.6506469500924,NA,NA,NA,NA,NA,NA,49.2421441774492,NA,NA,NA,NA
"Mf1_73",NA,NA,NA,33.5646363402724,32.1511179645335,NA,NA,NA,NA,NA,NA,32.408121305577
"Mf1_74",11.5402881114453,NA,NA,NA,NA,NA,NA,11.920215292069,NA,NA,50.2928605350641,24.4261516542663
"Mf1_75",NA,NA,49.2563897052275,NA,49.1049959925194,NA,NA,NA,NA,NA,NA,NA
"Mf1_76",NA,49.4343891402715,NA,NA,47.9260935143288,NA,NA,NA,NA,NA,NA,NA
"Mf1_77",25.7884972170687,NA,NA,NA,49.7835497835498,NA,NA,23.1292517006803,NA,NA,NA,NA
"Mf1_78",23.5695276114438,NA,NA,NA,NA,NA,NA,24.4510978043912,NA,NA,NA,50.5156353958749
"Mf1_79",23.9817373543194,24.4142736993872,24.5944971764989,NA,NA,NA,NA,23.9697224558453,NA,NA,NA,NA
"Mf1_80",24.8105726872247,NA,NA,48.6696035242291,NA,NA,NA,23.7356828193833,NA,NA,NA,NA
"Mf1_81",13.4274458305975,NA,NA,NA,NA,NA,NA,11.0308601444517,NA,NA,49.5403808273145,24.1956664478004
"Mf1_82",35.9384743296612,NA,24.8700893785076,NA,NA,NA,NA,36.1879027229266,NA,NA,NA,NA
"Mf1_83",15.5166374781086,NA,NA,NA,NA,NA,NA,16.9176882661996,NA,NA,33.2049036777583,32.2942206654991
"Mf1_84",29.6345222369001,NA,20.3434610303831,NA,NA,NA,NA,27.3447820343461,NA,NA,NA,20.4315279612506
"Mf1_85",NA,33.2705192629816,NA,31.679229480737,NA,NA,NA,NA,NA,NA,NA,32.5167504187605
"Mf1_86",15.5876807039598,NA,NA,33.0609679446889,NA,NA,NA,15.2105593966059,NA,NA,NA,34.1294783155248
"Mf1_87",31.7422434367542,NA,NA,NA,NA,NA,NA,32.1544803645042,NA,NA,NA,33.9119114775439
"Mf1_88",24.7967479674797,NA,NA,NA,47.5158084914183,NA,NA,25.7904245709124,NA,NA,NA,NA
"Mf1_89",31.5555555555556,NA,NA,NA,NA,NA,NA,33.1555555555556,NA,NA,NA,33.1777777777778
"Mf1_90",24.9856073690271,NA,NA,48.5607369027058,NA,NA,NA,24.3235463442717,NA,NA,NA,NA
